tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Other;s__Other;t__Other	0.000652149	0.000652035	0.000651345	0.000644073	0.000615711	0.000590888	0.000693044	0.000667739
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella_intestinihominis;t__Barnesiella_intestinihominis_YIT_11860	0.01032647	0.010325571	0.010313648	0.010198483	0.009710325	0.009972747	0.010521673	0.010441011
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella_viscericola;t__Barnesiella_viscericola_C46,_DSM_18177"	5.35E-05	5.35E-05	5.34E-05	5.30E-05	5.01E-05	0.00010853	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter;s__Coprobacter_fastidiosus;t__Coprobacter_fastidiosus_NSB1	0.000603475	0.000603362	0.000602226	0.000595858	0.00056739	0.000590888	0.000882056	0.000637387
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Coprobacter;s__Coprobacter_secundus;t__Coprobacter_secundus_177	2.78E-05	2.78E-05	2.78E-05	2.76E-05	2.64E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_sp._Marseille-P2440;t__Butyricimonas_sp._Marseille-P2440_Marseille-P2440	3.43E-06	3.43E-06	3.43E-06	3.42E-06	3.19E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_sp._Marseille-P4593;t__Butyricimonas_sp._Marseille-P4593_vagina	0.000129614	0.00012961	0.000129472	0.000127928	0.000122123	0.000120589	0	0.000151759
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_synergistica;t__Butyricimonas_synergistica_DSM_23225	3.99E-06	3.99E-06	3.99E-06	3.97E-06	3.82E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_virosa;t__Butyricimonas_virosa_DSM_23226	0.000279625	0.000279616	0.000279241	0.000275899	0.000263538	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Other;t__Other	5.66E-06	5.66E-06	5.65E-06	5.54E-06	5.37E-06	1.21E-05	0	3.04E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Culturomica;s__Culturomica_massiliensis;t__Culturomica_massiliensis_Marseille-P2698	1.04E-05	1.04E-05	1.04E-05	1.03E-05	9.74E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_laneus;t__Odoribacter_laneus_YIT_12061	0.003572543	0.003572054	0.003568683	0.003529146	0.003359565	0.003280033	0.003528226	0.003520806
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus;t__Odoribacter_splanchnicus_DSM_220712	9.55E-06	9.55E-06	9.55E-06	9.42E-06	8.92E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus;t__Odoribacter_splanchnicus_NCTC10825	6.86E-06	6.86E-06	6.86E-06	6.74E-06	6.55E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus;t__Other	0.004387962	0.004387445	0.004382401	0.004334307	0.0041257	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Other;s__Other;t__Other	1.75E-05	1.75E-05	1.75E-05	1.74E-05	1.63E-05	3.62E-05	6.30E-05	3.04E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Other;g__Other;s__Bacteroidales_bacterium_KA00344;t__Bacteroidales_bacterium_KA00344_KA00344	4.08E-06	4.08E-06	4.08E-06	3.97E-06	3.73E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Other;g__Other;s__Other;t__Other	0.040251815	0.040247697	0.040201205	0.039757209	0.037844658	0.039673926	0.041897681	0.041430176
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Gabonia;s__Gabonia_massiliensis;t__Gabonia_massiliensis_GM3	4.82E-06	4.82E-06	4.82E-06	4.71E-06	4.46E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Gabonibacter;s__Gabonibacter_massiliensis;t__Gabonibacter_massiliensis_GM7	1.30E-06	1.30E-06	1.30E-06	1.29E-06	1.18E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Other;t__Other	6.30E-06	6.30E-06	6.30E-06	6.19E-06	6.01E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_asaccharolytica;t__Porphyromonas_asaccharolytica_DSM_20707	2.87E-06	2.87E-06	2.87E-06	2.86E-06	2.73E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_levii;t__Porphyromonas_levii_DSM_23370	1.85E-06	1.85E-06	1.85E-06	1.85E-06	1.64E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_somerae;t__Porphyromonas_somerae_DSM_23386	1.53E-05	1.53E-05	1.53E-05	1.51E-05	1.46E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_sp._HMSC065F10;t__Porphyromonas_sp._HMSC065F10_HMSC065F10	2.23E-06	2.23E-06	2.22E-06	2.22E-06	2.18E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas_uenonis;t__Porphyromonas_uenonis_DSM_23387	3.15E-06	3.15E-06	3.15E-06	3.05E-06	3.00E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Sanguibacteroides;s__Sanguibacteroides_justesenii;t__Sanguibacteroides_justesenii_OUH_308042	1.48E-05	1.48E-05	1.48E-05	1.46E-05	1.39E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__Alloprevotella_tannerae;t__Alloprevotella_tannerae_ATCC_51259	5.38E-06	5.38E-06	5.38E-06	5.36E-06	5.10E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Metaprevotella;s__Metaprevotella_massiliensis;t__Metaprevotella_massiliensis_Marseille_P-3114	5.88E-05	5.88E-05	5.87E-05	5.63E-05	5.43E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Other;s__Other;t__Other	0.000487119	0.000486917	0.000486377	0.000480492	0.000457006	0.000313533	0.000252016	0.000242814
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_clara;t__Paraprevotella_clara_YIT_11840	1.32E-05	1.32E-05	1.32E-05	1.31E-05	1.23E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_xylaniphila;t__Paraprevotella_xylaniphila_YIT_11841	6.37E-05	6.37E-05	6.37E-05	6.27E-05	5.99E-05	0.00010853	0	0.000182111
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Other;t__Other	0.00091694	0.00091691	0.000915665	0.000906394	0.000863324	0.000940598	0.000819052	0.001001609
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_albensis;t__Prevotella_albensis_DSM_11370	5.47E-05	5.47E-05	5.47E-05	5.41E-05	5.15E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_amnii;t__Prevotella_amnii_DSM_23384	9.55E-06	9.55E-06	9.55E-06	9.42E-06	9.10E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bergensis;t__Prevotella_bergensis_DSM_17361	3.30E-05	3.30E-05	3.30E-05	3.26E-05	3.12E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia;t__Other	0.00013564	0.000135636	0.000135496	0.000134116	0.000127492	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia;t__Prevotella_bivia_DSM_20514	5.75E-06	5.75E-06	5.75E-06	5.63E-06	5.46E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia;t__Prevotella_bivia_GED7760C	8.07E-06	8.07E-06	8.06E-06	8.04E-06	7.74E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia;t__Prevotella_bivia_GED7880	5.84E-06	5.84E-06	5.84E-06	5.63E-06	5.19E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bryantii;t__Other	1.24E-05	1.24E-05	1.24E-05	1.23E-05	1.18E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bryantii;t__Prevotella_bryantii_B14	5.28E-05	5.28E-05	5.28E-05	5.21E-05	4.99E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bryantii;t__Prevotella_bryantii_C21a	1.76E-06	1.76E-06	1.76E-06	1.75E-06	1.73E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bryantii;t__Prevotella_bryantii_FB3001	1.60E-05	1.60E-05	1.60E-05	1.57E-05	1.48E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bryantii;t__Prevotella_bryantii_KHPX14	1.95E-06	1.95E-06	1.95E-06	1.94E-06	1.91E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_buccalis;t__Other	3.24E-06	3.24E-06	3.24E-06	3.05E-06	3.00E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_buccalis;t__Prevotella_buccalis_ATCC_35310	1.05E-05	1.05E-05	1.05E-05	1.03E-05	9.92E-06	1.21E-05	0	3.04E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_buccalis;t__Prevotella_buccalis_UMB0536	9.99E-05	9.98E-05	9.97E-05	9.89E-05	9.41E-05	8.44E-05	0	6.07E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_conceptionensis;t__Prevotella_conceptionensis_9403948	5.42E-05	5.42E-05	5.42E-05	5.38E-05	5.09E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri;t__Prevotella_copri_DSM_18205	0.054903386	0.054897762	0.054836642	0.054227559	0.051620987	0.053626124	0.053301411	0.053358424
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_corporis;t__Other	2.10E-05	2.10E-05	2.10E-05	2.09E-05	1.99E-05	1.21E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_corporis;t__Prevotella_corporis_DSM_18810	1.08E-05	1.08E-05	1.08E-05	1.07E-05	1.03E-05	1.21E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_corporis;t__Prevotella_corporis_MJR7716	1.94E-05	1.94E-05	1.94E-05	1.88E-05	1.82E-05	3.62E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_dentalis;t__Other	4.90E-05	4.90E-05	4.89E-05	4.81E-05	4.60E-05	9.65E-05	6.30E-05	0.000151759
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_denticola;t__Prevotella_denticola_DSM_20614	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.27E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_disiens;t__Other	6.68E-06	6.68E-06	6.67E-06	6.56E-06	6.28E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_fusca;t__Prevotella_fusca_W1435	5.10E-06	5.10E-06	5.10E-06	5.08E-06	4.82E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_histicola;t__Prevotella_histicola_F0411	1.67E-06	1.67E-06	1.67E-06	1.66E-06	1.64E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_ihumii;t__Prevotella_ihumii_Marseille-P3385	9.93E-05	9.93E-05	9.90E-05	9.79E-05	9.26E-05	8.44E-05	0	0.000121407
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia;t__Other	0.000111998	0.000111995	0.000111863	0.000110471	0.000105106	4.82E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia;t__Prevotella_intermedia_KCOM_1741	3.06E-06	3.06E-06	3.06E-06	3.05E-06	2.82E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia;t__Prevotella_intermedia_KCOM_1949	1.51E-05	1.51E-05	1.51E-05	1.50E-05	1.42E-05	4.82E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia;t__Prevotella_intermedia_OMA14	2.31E-05	2.31E-05	2.31E-05	2.26E-05	2.16E-05	4.82E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_jejuni;t__Prevotella_jejuni_CD3:33	2.32E-06	2.32E-06	2.32E-06	2.31E-06	2.18E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_lascolaii;t__Prevotella_lascolaii_KHD1	0.001315146	0.001314732	0.001312978	0.001298768	0.001234243	0.001181777	0.001071069	0.001001609
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_melaninogenica;t__Other	4.91E-06	4.91E-06	4.91E-06	4.90E-06	4.73E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_melaninogenica;t__Prevotella_melaninogenica_D18	5.84E-06	5.84E-06	5.84E-06	5.82E-06	5.46E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_multiformis;t__Prevotella_multiformis_DSM_16608	5.10E-06	5.10E-06	5.10E-06	4.99E-06	4.82E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_multisaccharivorax;t__Prevotella_multisaccharivorax_DSM_17128	3.41E-05	3.41E-05	3.41E-05	3.38E-05	3.21E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oris;t__Other	2.13E-06	2.13E-06	2.13E-06	2.12E-06	2.00E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oris;t__Prevotella_oris_C735	1.48E-06	1.48E-06	1.48E-06	1.48E-06	1.37E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oulorum;t__Other	7.14E-06	7.14E-06	7.14E-06	7.11E-06	6.37E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oulorum;t__Prevotella_oulorum_ATCC_43324	1.39E-06	1.39E-06	1.39E-06	1.39E-06	1.37E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_oulorum;t__Prevotella_oulorum_JCM_14966	1.58E-06	1.58E-06	1.58E-06	1.57E-06	1.46E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_pallens;t__Prevotella_pallens_ATCC_700821	8.06E-05	8.06E-05	8.05E-05	7.96E-05	7.58E-05	8.44E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_salivae;t__Prevotella_salivae_DSM_15606	5.56E-06	5.56E-06	5.56E-06	5.54E-06	5.37E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_scopos;t__Other	2.13E-06	2.13E-06	2.13E-06	2.12E-06	2.09E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._C561;t__Prevotella_sp._C561_C561	3.06E-06	3.06E-06	3.06E-06	2.96E-06	2.91E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._DNF00663;t__Prevotella_sp._DNF00663_DNF00663	1.66E-05	1.66E-05	1.66E-05	1.65E-05	1.58E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._F0091;t__Prevotella_sp._F0091_F0091	2.04E-06	2.04E-06	2.04E-06	2.03E-06	2.00E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._HJM029;t__Prevotella_sp._HJM029_HJM029	1.85E-06	1.85E-06	1.85E-06	1.85E-06	1.73E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._Marseille-P4119;t__Prevotella_sp._Marseille-P4119_Marseille-P4119	0.001422509	0.001422369	0.001420949	0.001406283	0.001336983	0.001097364	0.001197077	0.001123016
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_stercorea;t__Prevotella_stercorea_DSM_18206	0.000624613	0.0006245	0.00062382	0.00061664	0.000586955	0.00056677	0.00031502	0.000698091
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_timonensis;t__Other	5.28E-06	5.28E-06	5.28E-06	5.26E-06	5.01E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_timonensis;t__Prevotella_timonensis_UMB0818	1.60E-05	1.60E-05	1.60E-05	1.59E-05	1.53E-05	3.62E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_veroralis;t__Prevotella_veroralis_F0319	7.42E-06	7.42E-06	7.41E-06	7.30E-06	6.83E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__[Hallella]_seregens;t__[Hallella]_seregens_ATCC_51272	5.75E-06	5.75E-06	5.65E-06	5.63E-06	5.37E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellamassilia;s__Prevotellamassilia_timonensis;t__Prevotellamassilia_timonensis_Marseille-P2831	0.009331001	0.00932995	0.009318001	0.009217272	0.008768922	0.009092444	0.009765625	0.009257292
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii;t__Alistipes_finegoldii_2789STDY5608890	0.003753335	0.003753025	0.003748387	0.003705752	0.003527371	0.003822685	0.003717238	0.003733269
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii;t__Alistipes_finegoldii_2789STDY5834947	0.001099772	0.00109955	0.001098242	0.001085863	0.001031493	0.001000892	0.001197077	0.001214071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii;t__Alistipes_finegoldii_DSM_17242	0.007562484	0.007561769	0.007553864	0.007468493	0.00711462	0.007030364	0.007308468	0.006647039
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii;t__Other	0.006396422	0.006395931	0.006388708	0.006317789	0.006012055	0.006150062	0.00686744	0.006464929
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_ihumii;t__Alistipes_ihumii_AP11	0.000579925	0.000579906	0.000579149	0.000572212	0.000544184	0.000482358	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_indistinctus;t__Alistipes_indistinctus_YIT_12060	0.000344988	0.000344977	0.000344579	0.000340648	0.000325692	0.000434122	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_inops;t__Alistipes_inops_627	2.41E-06	2.41E-06	2.41E-06	2.40E-06	2.18E-06	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi;t__Alistipes_obesi	0.003451088	0.003450324	0.00344644	0.003408423	0.003244358	0.003617683	0.003528226	0.003551158
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_onderdonkii;t__Alistipes_onderdonkii_DSM_19147	0.000671619	0.000671597	0.000671086	0.000664578	0.000634002	0.000711478	0.000693044	0.000728443
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis;t__Alistipes_putredinis_DSM_17216	0.019860143	0.019858186	0.019837117	0.019614158	0.018655242	0.019728433	0.019594254	0.018818102
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_senegalensis;t__Alistipes_senegalensis	0.000914344	0.000914221	0.000913162	0.000903346	0.000860958	0.000578829	0	0.000455277
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii;t__Alistipes_shahii_WAL_8301	0.004871464	0.004871117	0.004865813	0.004809164	0.004578429	0.005040639	0.005544355	0.005372265
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._AL-1;t__Alistipes_sp._AL-1	0.000488602	0.000488586	0.00048786	0.000482708	0.000459008	0.000470299	0.000252016	0.000424925
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._CHKCI003;t__Alistipes_sp._CHKCI003	0.0001018	0.000101796	0.000101668	0.00010068	9.58E-05	7.24E-05	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._Marseille-P2431;t__Alistipes_sp._Marseille-P2431_Marseille-P2431	0.000114965	0.000114961	0.000114921	0.000113703	0.000108655	0.000120589	0	0.000151759
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp._Marseille-P5061;t__Alistipes_sp._Marseille-P5061_Marseille-P5061	0.000315505	0.000315495	0.000315107	0.000311183	0.000297845	0.000205002	0	0.000182111
