tax	con.depth.100.seq.bifido	con.depth.1000.seq.bifido	con.depth.10000.seq.bifido	con.depth.100000.seq.bifido	con.depth.500000.seq.bifido	conbif.200000	conbif.40000	conbif.80000
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_2789STDY5834850	0.000194236	0.000194229	0.000194069	0.000192215	0.000182456	0.000205002	0.000126008	0.000151759
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_ATCC_15703	0.000251625	0.000251617	0.000251252	0.000248282	0.000236147	0.00033765	0.000378024	0.00033387
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_BBMN23	0.000165309	0.000165303	0.000165246	0.000163304	0.00015643	0.000217061	0.000126008	0.000121407
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Bifidobacterium_adolescentis_L2-32	0.000146766	0.000146761	0.000146618	0.000144831	0.000137229	8.44E-05	0.000126008	9.11E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__Other	0.006355813	0.006355139	0.006348671	0.006280196	0.005974562	0.006005354	0.005985383	0.006131059
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum;t__Bifidobacterium_angulatum_GT102	2.48E-05	2.48E-05	2.47E-05	2.45E-05	2.35E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_angulatum;t__Other	7.19E-05	7.19E-05	7.18E-05	7.12E-05	6.82E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_animalis;t__Other	4.85E-05	4.85E-05	4.85E-05	4.81E-05	4.58E-05	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_biavatii;t__Bifidobacterium_biavatii_DSM_23969	6.12E-06	6.12E-06	6.02E-06	6.00E-06	5.64E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_2789STDY5608877	1.21E-05	1.21E-05	1.21E-05	1.18E-05	1.15E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_BF3	6.30E-06	6.30E-06	6.30E-06	6.19E-06	6.01E-06	0	0	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_BGN4	3.89E-06	3.89E-06	4.08E-06	4.99E-06	9.37E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_MJR8628B	2.71E-05	2.71E-05	2.71E-05	2.68E-05	2.57E-05	4.82E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_NCIMB_41171	1.63E-05	1.63E-05	1.63E-05	1.62E-05	1.55E-05	2.41E-05	0	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_PRI_1	2.78E-05	2.78E-05	2.78E-05	2.72E-05	2.60E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_PRL2010	1.04E-05	1.04E-05	1.04E-05	1.03E-05	1.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Bifidobacterium_bifidum_S17	1.90E-05	1.90E-05	1.90E-05	1.87E-05	1.77E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum;t__Other	0.001057494	0.001057459	0.001056444	0.001046607	0.001003283	0.001242071	0	0.001426534
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_689b	4.64E-07	4.64E-07	4.63E-07	1.57E-06	5.73E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_ACS-071-V-Sch8b	3.80E-06	3.80E-06	3.99E-06	4.71E-06	8.19E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_DRBB26	1.85E-06	1.85E-06	2.04E-06	2.86E-06	6.92E-06	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_JCM_7019	2.04E-06	2.04E-06	2.22E-06	4.53E-06	1.39E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_LMC520	1.85E-06	1.85E-06	1.85E-06	2.40E-06	4.73E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NCFB_2258	0	0	1.85E-07	1.57E-06	7.64E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB02	2.04E-06	2.04E-06	2.04E-06	2.03E-06	2.00E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB09	7.60E-06	7.60E-06	7.79E-06	8.04E-06	9.65E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB50	1.11E-06	1.11E-06	1.39E-06	3.79E-06	1.42E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB52	7.42E-07	9.27E-07	9.27E-07	2.49E-06	8.92E-06	2.41E-05	0	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Bifidobacterium_breve_NRBB57	1.95E-06	1.95E-06	1.95E-06	2.77E-06	6.01E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve;t__Other	3.20E-05	3.20E-05	3.61E-05	8.30E-05	0.000279554	0.000156766	0	0.000212462
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_catenulatum;t__Bifidobacterium_catenulatum_JCM_1194	4.39E-05	4.39E-05	4.40E-05	4.33E-05	4.31E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_kashiwanohense;t__Bifidobacterium_kashiwanohense_JCM_15439	2.96E-05	2.96E-05	2.96E-05	3.04E-05	3.41E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_kashiwanohense;t__Bifidobacterium_kashiwanohense_PV20-2	6.43E-05	6.42E-05	6.42E-05	6.42E-05	6.43E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_kashiwanohense;t__Other	8.53E-06	8.53E-06	8.53E-06	8.50E-06	8.01E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_105-A	9.27E-06	9.27E-06	9.27E-06	9.51E-06	1.10E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_157F	1.24E-05	1.24E-05	1.24E-05	1.29E-05	1.48E-05	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_35624	7.60E-06	7.60E-06	7.60E-06	7.57E-06	7.10E-06	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_AH1206	3.40E-05	3.40E-05	3.40E-05	3.56E-05	4.11E-05	6.03E-05	0	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_ATCC_15697	0	2.78E-07	1.58E-06	1.09E-05	5.25E-05	3.62E-05	6.30E-05	9.11E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_BBMN68	8.07E-06	8.07E-06	8.06E-06	8.41E-06	1.04E-05	2.41E-05	0.000126008	6.07E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_BG7	2.67E-05	2.67E-05	2.67E-05	2.61E-05	2.48E-05	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_BT1	9.83E-06	9.83E-06	1.14E-05	3.07E-05	0.000111203	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_CCUG30698	1.11E-05	1.11E-05	1.14E-05	1.26E-05	1.83E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_CECT_7210	1.64E-05	1.65E-05	1.72E-05	2.24E-05	4.56E-05	2.41E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_DJO10A	8.99E-06	8.99E-06	8.99E-06	8.96E-06	8.65E-06	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__Bifidobacterium_longum_F8	3.13E-05	3.13E-05	3.12E-05	3.13E-05	3.23E-05	6.03E-05	0	9.11E-05
